numeroTemporada,id,nombre,fechaLanzamiento,numeroCapitulos
1,1,Temporada 1,24/09/2007,17
2,1,Temporada 2,22/09/2008,23
1,2,Temporada 1,26/07/2019,8
2,2,Temporada 2,04/09/2020,8
1,3,Temporada 1,20/01/2008,7
2,3,Temporada 2,08/03/2009,13
3,3,Temporada 3,21/03/2010,13
1,4,Temporada 1,17/09/2013,22
2,4,Temporada 2,28/09/2014,23
1,5,Temporada 1,03/02/2006,6
1,6,Temporada 1,22/09/2004,23
1,7,Temporada 1,04/10/2006,37
1,8,Temporada 1,22/09/1994,24
2,8,Temporada 2,21/09/1995,24
1,9,Temporada 1,28/03/1999,13
1,10,Temporada 1,16/11/2004,22
1,11,Temporada 1,19/10/2015,26
1,12,Temporada 1,12/11/2019,8
2,12,Temporada 2,30/10/2020,8
1,13,Temporada 1,23/09/2008,15
1,14,Temporada 1,24/03/2005,6
2,14,Temporada 2,20/09/2005,22
1,15,Temporada 1,05/07/1989,5
2,15,Temporada 2,23/01/1990,12
1,16,Temporada 1,25/07/2010,3
2,16,Temporada 2,01/01/2012,3
1,17,Temporada 1,13/08/1997,13
1,18,Temporada 1,17/04/2011,10
2,18,Temporada 2,01/04/2012,10
1,19,Temporada 1,03/03/2013,9
